age,gender,occupation,employment_type,marital_status,number_of_dependents,monthly_salary,additional_income,annual_bonus,business_income,total_monthly_income,house_rent,food_expenses,transportation,electricity_bill,internet_bill,insurance,education,medical_expenses,entertainment,shopping,other_expenses,total_living_expenses,loan_type,loan_amount,interest_rate,loan_tenure_months,proposed_emi,existing_home_emi,existing_personal_emi,existing_vehicle_emi,existing_cc_emi,total_existing_emi,credit_score,bank_balance,savings,investments,smoking,alcohol,travel_frequency,online_shopping_frequency,debt_to_income_ratio,emergency_fund_months,disposable_income,recommended_max_emi,financial_health_score,emi_default_risk_prob,emi_default_flag
45,Female,Manager,Salaried,Married,3,47500.0,12700.0,0.0,0.0,60200.0,18600.0,17100.0,8700.0,2200.0,1700.0,8700.0,3600.0,6700.0,1800.0,11200.0,4100.0,84400.0,Vehicle Loan,2040000.0,8.1,180,19610.0,0.0,0.0,0.0,7800.0,7800.0,822,130000.0,584600.0,1467400.0,Yes,Never,Low,Low,0.4553,7.75,-32000.0,19290.0,58.7,0.1511,0
47,Male,Other,Salaried,Single,2,53200.0,0.0,62000.0,0.0,58366.666666666664,14500.0,14400.0,5000.0,5000.0,2300.0,11900.0,4500.0,9900.0,9000.0,8600.0,7300.0,92400.0,Education Loan,3094000.0,17.5,36,111080.0,9700.0,0.0,0.0,0.0,9700.0,340,110500.0,628300.0,818900.0,No,Frequently,Low,Low,2.0693,7.24,-43733.33,16560.0,16.4,1.0,1
62,Female,Sales Executive,Self-Employed,Single,0,36400.0,11200.0,53000.0,0.0,52016.666666666664,17400.0,12200.0,2100.0,3000.0,1800.0,8600.0,0.0,2600.0,8800.0,5900.0,6400.0,68800.0,Business Loan,462000.0,13.9,24,22160.0,0.0,5500.0,0.0,12800.0,18300.0,303,95300.0,431400.0,1222100.0,No,Never,Low,Low,0.7778,6.05,-35083.33,5110.0,28.2,0.9994,1
48,Female,Other,Business,Single,2,66700.0,0.0,36000.0,117100.0,186800.0,59100.0,20500.0,4100.0,4400.0,1200.0,1600.0,17700.0,10600.0,4800.0,19600.0,3300.0,146900.0,Home Loan,6524000.0,7.9,48,158960.0,0.0,0.0,20400.0,5300.0,25700.0,772,378100.0,3293100.0,3855800.0,Yes,Never,Moderate,High,0.9885,21.27,14200.0,58360.0,52.7,0.0318,0
36,Male,Business Owner,Salaried,Divorced,1,25500.0,0.0,0.0,0.0,25500.0,3000.0,7300.0,5700.0,1800.0,2500.0,6200.0,10600.0,2500.0,7200.0,11100.0,4900.0,62800.0,Vehicle Loan,1111000.0,16.3,60,27190.0,5300.0,0.0,0.0,0.0,5300.0,302,103400.0,475000.0,560100.0,No,Occasionally,Moderate,Low,1.2741,8.49,-42600.0,6180.0,23.7,0.9999,1
35,Female,Sales Executive,Salaried,Married,0,53800.0,21000.0,136000.0,0.0,86133.33333333333,11600.0,13700.0,7600.0,3700.0,900.0,9500.0,0.0,13100.0,2100.0,21100.0,2200.0,85500.0,Business Loan,5029000.0,9.1,12,440030.0,0.0,0.0,0.0,1100.0,1100.0,675,126100.0,736000.0,294200.0,No,Never,Low,Moderate,5.1215,9.95,-466.67,37660.0,39.5,1.0,1
64,Female,Sales Executive,Salaried,Married,3,64900.0,23100.0,121000.0,0.0,98083.33333333333,24500.0,23000.0,5100.0,1600.0,1500.0,7000.0,16800.0,8100.0,5600.0,22300.0,7700.0,123200.0,Business Loan,4481000.0,15.9,36,157320.0,0.0,0.0,0.0,0.0,0.0,496,884900.0,1758300.0,908600.0,No,Never,Moderate,High,1.6039,21.45,-25116.67,44140.0,31.2,0.9848,1
23,Female,Teacher,Salaried,Single,1,44400.0,0.0,23000.0,0.0,46316.666666666664,10600.0,9000.0,6300.0,3700.0,2100.0,11500.0,9100.0,8400.0,10400.0,19300.0,6000.0,96400.0,Business Loan,1628000.0,13.8,240,20010.0,13600.0,0.0,0.0,0.0,13600.0,461,242200.0,226200.0,315600.0,Yes,Never,Low,Low,0.7257,4.26,-63683.33,7240.0,33.3,0.9951,1
57,Male,Sales Executive,Salaried,Married,2,59000.0,0.0,0.0,0.0,59000.0,8400.0,19700.0,6200.0,2200.0,500.0,1600.0,14100.0,9200.0,8300.0,11100.0,3600.0,84900.0,Business Loan,2783000.0,9.4,60,58310.0,0.0,5700.0,3700.0,2400.0,11800.0,864,312400.0,572300.0,222900.0,No,Occasionally,Low,Moderate,1.1883,9.15,-37700.0,14750.0,39.8,0.4716,1
27,Male,Software Engineer,Salaried,Married,0,29900.0,0.0,37000.0,0.0,32983.333333333336,4400.0,13800.0,3300.0,3300.0,1900.0,4200.0,0.0,11900.0,2100.0,18600.0,3200.0,66700.0,Personal Loan,1974000.0,15.4,12,178540.0,5200.0,0.0,0.0,1100.0,6300.0,593,82600.0,190900.0,632500.0,No,Never,Moderate,High,5.604,3.75,-40016.67,8540.0,25.1,1.0,1
41,Male,Other,Self-Employed,Single,0,30200.0,13400.0,0.0,0.0,43600.0,10500.0,4200.0,7000.0,4300.0,1000.0,3400.0,0.0,7700.0,10300.0,5600.0,2700.0,56700.0,Home Loan,2349000.0,12.3,48,62200.0,0.0,0.0,0.0,0.0,0.0,762,381000.0,229100.0,909200.0,No,Occasionally,Moderate,Low,1.4266,10.76,-13100.0,19620.0,43.0,0.8876,1
29,Female,Manager,Salaried,Married,1,55200.0,0.0,83000.0,0.0,62116.666666666664,7000.0,9200.0,5500.0,5400.0,800.0,9400.0,6700.0,7000.0,8500.0,17200.0,6500.0,83200.0,Business Loan,615000.0,14.2,240,7740.0,0.0,6500.0,8500.0,10000.0,25000.0,640,519700.0,1073600.0,263600.0,No,Occasionally,Low,High,0.5271,14.73,-46083.33,2950.0,59.0,0.1812,0
59,Male,Business Owner,Salaried,Single,0,68800.0,8200.0,0.0,0.0,77000.0,24500.0,12500.0,8500.0,1800.0,1000.0,6800.0,0.0,5000.0,6000.0,11300.0,4000.0,81400.0,Business Loan,2819000.0,16.6,240,40490.0,0.0,11500.0,0.0,0.0,11500.0,303,63600.0,1121900.0,1775300.0,No,Never,Moderate,Moderate,0.6752,12.76,-15900.0,23150.0,38.1,0.9883,1
38,Female,Sales Executive,Salaried,Single,2,19200.0,0.0,12000.0,0.0,20200.0,6100.0,15000.0,7500.0,5500.0,2400.0,2500.0,4300.0,2800.0,8600.0,17100.0,3300.0,75100.0,Vehicle Loan,975000.0,10.2,24,45080.0,0.0,2000.0,2300.0,0.0,4300.0,677,150600.0,45900.0,173800.0,No,Occasionally,High,High,2.4446,2.47,-59200.0,4790.0,23.2,1.0,1
24,Female,Business Owner,Salaried,Married,0,63600.0,0.0,140000.0,0.0,75266.66666666667,22300.0,11400.0,2900.0,3000.0,2300.0,4100.0,0.0,3700.0,2900.0,19400.0,7300.0,79300.0,Vehicle Loan,3158000.0,11.3,360,30790.0,0.0,9000.0,0.0,11800.0,20800.0,602,169400.0,1158400.0,850800.0,Yes,Never,Low,Low,0.6854,13.26,-24833.33,13070.0,49.6,0.527,1
45,Male,Business Owner,Salaried,Married,1,37400.0,3200.0,0.0,0.0,40600.0,4200.0,9200.0,5900.0,5200.0,900.0,6700.0,7900.0,1000.0,7100.0,14900.0,2100.0,65100.0,Personal Loan,1134000.0,18.0,12,103970.0,0.0,0.0,0.0,0.0,0.0,710,234600.0,482600.0,1209800.0,No,Never,Low,Low,2.5608,11.02,-24500.0,18270.0,39.2,0.9997,1
34,Female,Sales Executive,Salaried,Married,0,44500.0,0.0,129000.0,0.0,55250.0,6200.0,13500.0,7600.0,3600.0,700.0,12000.0,0.0,13200.0,7800.0,16800.0,2800.0,84200.0,Business Loan,1256000.0,12.8,240,14540.0,0.0,0.0,0.0,0.0,0.0,406,484500.0,881400.0,318200.0,No,Never,Low,Low,0.2632,16.22,-28950.0,24860.0,57.4,0.6633,1
29,Male,Sales Executive,Business,Married,0,25100.0,0.0,0.0,50100.0,75200.0,17900.0,7700.0,2700.0,5300.0,1200.0,5000.0,0.0,11700.0,11200.0,6900.0,3400.0,73000.0,Personal Loan,2969000.0,13.4,240,35630.0,0.0,0.0,0.0,0.0,0.0,583,704900.0,923000.0,266500.0,Yes,Occasionally,Moderate,High,0.4738,22.3,2200.0,33840.0,56.7,0.063,0
46,Female,Teacher,Salaried,Single,2,32000.0,0.0,0.0,0.0,32000.0,11200.0,13500.0,8300.0,4300.0,1700.0,2700.0,8200.0,4100.0,1700.0,15600.0,2800.0,74100.0,Vehicle Loan,886000.0,10.5,120,11960.0,8500.0,0.0,0.0,8900.0,17400.0,688,72100.0,261500.0,257800.0,No,Occasionally,Moderate,High,0.9175,3.65,-59500.0,0.0,38.2,0.9611,1
22,Male,Teacher,Self-Employed,Married,0,79500.0,12800.0,0.0,0.0,92300.0,17100.0,9200.0,3800.0,3500.0,2200.0,6500.0,0.0,1000.0,5100.0,12600.0,5100.0,66100.0,Home Loan,2451000.0,11.9,12,217650.0,22200.0,0.0,13200.0,0.0,35400.0,703,870000.0,960300.0,2580200.0,No,Occasionally,High,Moderate,2.7416,18.03,-9200.0,6140.0,41.1,0.9985,1
40,Male,Teacher,Business,Married,2,49800.0,13400.0,0.0,26800.0,90000.0,16700.0,17400.0,6000.0,2600.0,2400.0,4400.0,6100.0,7900.0,11300.0,11800.0,5200.0,91800.0,Education Loan,4592000.0,12.8,360,50080.0,0.0,16300.0,0.0,0.0,16300.0,393,104500.0,332200.0,324100.0,No,Occasionally,Moderate,Moderate,0.7376,4.04,-18100.0,24200.0,28.2,0.9926,1
48,Male,Manager,Salaried,Married,3,40500.0,12100.0,33000.0,0.0,55350.0,7400.0,11300.0,9500.0,5800.0,2000.0,7200.0,16300.0,6800.0,3400.0,11400.0,1400.0,82500.0,Education Loan,1238000.0,10.2,36,40060.0,0.0,0.0,0.0,0.0,0.0,844,505800.0,382000.0,1022800.0,No,Occasionally,Low,Low,0.7238,10.76,-27150.0,24910.0,54.8,0.1538,0
27,Male,Manager,Salaried,Married,2,46200.0,11000.0,0.0,0.0,57200.0,15400.0,10900.0,6600.0,5000.0,1700.0,6100.0,6800.0,11900.0,9900.0,9200.0,2000.0,85500.0,Personal Loan,2315000.0,10.0,12,203530.0,9100.0,0.0,0.0,0.0,9100.0,491,448300.0,81500.0,1360900.0,Yes,Never,High,Low,3.7173,5.6,-37400.0,16640.0,26.3,1.0,1
64,Female,Teacher,Salaried,Single,2,62600.0,13500.0,49000.0,0.0,80183.33333333333,21000.0,10800.0,5400.0,2900.0,800.0,8600.0,16100.0,6600.0,1000.0,9000.0,2400.0,84600.0,Vehicle Loan,4253000.0,13.8,180,56070.0,0.0,9700.0,11200.0,0.0,20900.0,752,736200.0,699100.0,2218800.0,No,Frequently,Low,Low,0.9599,13.6,-25316.67,15180.0,49.3,0.309,0
28,Female,Teacher,Business,Single,0,61100.0,0.0,109000.0,116700.0,186883.3333333333,23400.0,5500.0,2100.0,1800.0,600.0,11100.0,0.0,13100.0,1300.0,18100.0,1500.0,78500.0,Education Loan,7325000.0,9.4,60,153480.0,0.0,0.0,0.0,10300.0,10300.0,488,743500.0,510800.0,2680100.0,Yes,Never,Moderate,Moderate,0.8764,14.12,98083.33,73800.0,60.5,0.8811,1
55,Female,Analyst,Business,Married,0,47200.0,0.0,85000.0,51600.0,105883.33333333334,23000.0,6900.0,3100.0,4900.0,1700.0,3200.0,0.0,2300.0,4600.0,14800.0,1900.0,66400.0,Business Loan,3399000.0,13.3,24,162070.0,29300.0,0.0,6800.0,6100.0,42200.0,357,999300.0,1434900.0,1453900.0,No,Occasionally,Low,Moderate,1.9292,22.41,-2716.67,5450.0,22.1,0.9984,1
34,Male,Analyst,Self-Employed,Single,3,84700.0,18400.0,248000.0,0.0,123766.66666666667,33000.0,18500.0,6600.0,5900.0,1600.0,10000.0,5800.0,6100.0,9500.0,2700.0,2700.0,102400.0,Home Loan,859000.0,14.9,12,77490.0,0.0,0.0,0.0,2700.0,2700.0,542,1024300.0,2269700.0,3072900.0,No,Never,High,Moderate,0.6479,31.34,18666.67,53000.0,47.8,0.0089,0
37,Male,Sales Executive,Salaried,Married,2,79600.0,10700.0,0.0,0.0,90300.0,20200.0,18300.0,6000.0,2400.0,2200.0,11400.0,18200.0,14100.0,2100.0,3100.0,3400.0,101400.0,Vehicle Loan,3837000.0,9.6,120,49860.0,0.0,0.0,9000.0,2300.0,11300.0,378,326800.0,1361100.0,530500.0,No,Occasionally,Moderate,High,0.6773,14.98,-22400.0,29340.0,41.7,0.9266,1
56,Male,Accountant,Self-Employed,Single,2,60300.0,0.0,74000.0,0.0,66466.66666666667,17900.0,17200.0,4900.0,5600.0,1100.0,5100.0,13200.0,1200.0,5200.0,15100.0,6500.0,93000.0,Personal Loan,3979000.0,15.3,12,359700.0,0.0,10600.0,0.0,1200.0,11800.0,605,247200.0,328400.0,921500.0,No,Never,Low,Low,5.5893,5.49,-38333.33,18110.0,27.2,1.0,1
60,Female,Accountant,Salaried,Single,2,50400.0,0.0,0.0,0.0,50400.0,15300.0,14700.0,9400.0,1600.0,600.0,2300.0,6100.0,6500.0,2400.0,21500.0,2500.0,82900.0,Vehicle Loan,2493000.0,11.3,120,34770.0,11900.0,0.0,0.0,0.0,11900.0,579,196200.0,536000.0,964300.0,Yes,Never,Moderate,Low,0.926,7.72,-44400.0,10780.0,37.8,0.9865,1
24,Female,Teacher,Salaried,Single,1,68100.0,0.0,56000.0,0.0,72766.66666666667,19800.0,6700.0,4700.0,5800.0,1300.0,10000.0,15000.0,4600.0,3500.0,3000.0,5700.0,80100.0,Home Loan,2903000.0,17.9,12,266010.0,0.0,0.0,0.0,0.0,0.0,311,443400.0,1057100.0,1528300.0,No,Never,High,High,3.6557,18.73,-7333.33,32750.0,21.8,1.0,1
22,Male,Business Owner,Salaried,Divorced,0,57400.0,0.0,137000.0,0.0,68816.66666666667,17500.0,17400.0,6300.0,4700.0,2400.0,8700.0,0.0,8400.0,6500.0,13700.0,1400.0,87000.0,Vehicle Loan,2120000.0,17.8,180,33840.0,0.0,0.0,0.0,7800.0,7800.0,584,153300.0,1122300.0,230900.0,No,Occasionally,Low,Moderate,0.6051,13.46,-25983.33,23170.0,49.2,0.6757,1
26,Male,Teacher,Salaried,Single,2,83300.0,0.0,186000.0,0.0,98800.0,31000.0,10400.0,6500.0,2700.0,2100.0,3300.0,8600.0,4900.0,4500.0,21600.0,5600.0,101200.0,Personal Loan,1713000.0,15.9,180,25040.0,0.0,0.0,0.0,0.0,0.0,561,456300.0,630100.0,2570300.0,No,Occasionally,Moderate,Moderate,0.2534,10.74,-2400.0,44460.0,59.7,0.1869,0
62,Female,Analyst,Self-Employed,Married,2,76900.0,18000.0,0.0,0.0,94900.0,30900.0,17400.0,6200.0,2500.0,600.0,5900.0,12500.0,13200.0,3300.0,2100.0,6600.0,101200.0,Business Loan,4087000.0,11.1,48,105830.0,0.0,0.0,10000.0,0.0,10000.0,410,108400.0,955100.0,2329600.0,Yes,Occasionally,Low,Moderate,1.2205,9.56,-16300.0,32700.0,26.6,0.9981,1
24,Female,Sales Executive,Salaried,Married,1,29500.0,0.0,18000.0,0.0,31000.0,6100.0,18800.0,5800.0,4200.0,2200.0,7400.0,8000.0,14100.0,5300.0,8300.0,5200.0,85400.0,Vehicle Loan,457000.0,17.3,180,7130.0,0.0,0.0,0.0,10800.0,10800.0,700,121000.0,92500.0,294900.0,No,Never,High,Moderate,0.5784,2.22,-65200.0,3150.0,45.9,0.778,1
